DATE,WSHOSHO
2016-06-01,4229933
2016-06-08,4230073
2016-06-15,4238453
2016-06-22,4245772
2016-06-29,4230940
2016-07-06,4231064
2016-07-13,4231178
2016-07-20,4242398
2016-07-27,4226345
2016-08-03,4226461
2016-08-10,4226556
2016-08-17,4239293
2016-08-24,4245050
2016-08-31,4230119
2016-09-07,4230075
2016-09-14,4249517
2016-09-21,4241341
2016-09-28,4220827
2016-10-05,4220842
2016-10-12,4220866
2016-10-19,4232747
2016-10-26,4217878
2016-11-02,4217925
2016-11-09,4217995
2016-11-16,4230006
2016-11-23,4241330
2016-11-30,4223028
2016-12-07,4222666
2016-12-14,4242440
2016-12-21,4238227
2016-12-28,4221168
2017-01-04,4221162
2017-01-11,4221125
2017-01-18,4230625
2017-01-25,4224236
2017-02-01,4224242
2017-02-08,4224258
2017-02-15,4237975
2017-02-22,4250406
2017-03-01,4240003
2017-03-08,4240169
2017-03-15,4248325
2017-03-22,4254947
2017-03-29,4246783
2017-04-05,4246906
2017-04-12,4258966
2017-04-19,4253384
2017-04-26,4245572
2017-05-03,4245636
2017-05-10,4245660
2017-05-17,4251580
2017-05-24,4253877
2017-05-31,4244487
2017-06-07,4244575
2017-06-14,4255569
2017-06-21,4254154
2017-06-28,4243422
2017-07-05,4243474
2017-07-12,4243498
2017-07-19,4252637
2017-07-26,4242265
2017-08-02,4242317
2017-08-09,4242347
2017-08-16,4251319
2017-08-23,4250730
2017-08-30,4239610
2017-09-06,4239599
2017-09-13,4254571
2017-09-20,4242728
2017-09-27,4240344
2017-10-04,4240384
2017-10-11,4240471
2017-10-18,4250343
2017-10-25,4243048
2017-11-01,4237214
2017-11-08,4237373
2017-11-15,4239252
2017-11-22,4239896
2017-11-29,4228444
2017-12-06,4225961
2017-12-13,4238883
2017-12-20,4234079
2017-12-27,4223535
2018-01-03,4217528
2018-01-10,4217530
2018-01-17,4221749
2018-01-24,4222454
2018-01-31,4201346
2018-02-07,4201327
2018-02-14,4212491
2018-02-21,4205755
2018-02-28,4188604
2018-03-07,4188784
2018-03-14,4197541
2018-03-21,4192285
2018-03-28,4183642
2018-04-04,4171790
2018-04-11,4171820
2018-04-18,4173760
2018-04-25,4162576
2018-05-02,4144823
2018-05-09,4144891
2018-05-16,4136872
2018-05-23,4135605
2018-05-30,4126081
2018-06-06,4116856
2018-06-13,4120141
2018-06-20,4112021
2018-06-27,4101930.0
2018-07-04,4084058.0
2018-07-11,4084188.0
2018-07-18,4084466.0
2018-07-25,4071830.0
2018-08-01,4048829.0
2018-08-08,4048879.0
2018-08-15,4034988.0
2018-08-22,4033680.0
2018-08-29,4024004.0
2018-09-05,4012617.0
2018-09-12,4012629.0
2018-09-19,4010838.0
2018-09-26,3997380.0
2018-10-03,3978394.0
2018-10-10,3978415.0
2018-10-17,3976763.0
2018-10-24,3973580.0
2018-10-31,3941797.0
2018-11-07,3941834.0
2018-11-14,3943654.0
2018-11-21,3917324.0
2018-11-28,3908994.0
2018-12-05,3896430.0
2018-12-12,3896485.0
2018-12-19,3891757.0
2018-12-26,3880249.0
2019-01-02,3862049.0
2019-01-09,3861944.0
2019-01-16,3855356.0
2019-01-23,3851419.0
2019-01-30,3844229.0
2019-02-06,3829930.0
2019-02-13,3829969.0
2019-02-20,3798759.0
2019-02-27,3792109.0
2019-03-06,3785438.0
2019-03-13,3785655.0
2019-03-20,3777418.0
2019-03-27,3770666.0
2019-04-03,3748378.0
2019-04-10,3748702.0
2019-04-17,3743694.0
2019-04-24,3739284.0
2019-05-01,3701734.0
2019-05-08,3701909.0
2019-05-15,3686375.0
2019-05-22,3681344.0
2019-05-29,3672496.0
2019-06-05,3667537.0
2019-06-12,3667709.0
2019-06-19,3661227.0
2019-06-26,3645329.0
2019-07-03,3630466.0
2019-07-10,3630521.0
2019-07-17,3623424.0
2019-07-24,3617939.0
2019-07-31,3594822.0
2019-08-07,3594828.0
2019-08-14,3597231.0
2019-08-21,3591937.0
2019-08-28,3587082.0
2019-09-04,3587116.0
2019-09-11,3593121.0
2019-09-18,3592607.0
2019-09-25,3577287.0
2019-10-02,3586738.0
2019-10-09,3591105.0
2019-10-16,3588569.0
2019-10-23,3609449.0
2019-10-30,3623600.0
2019-11-06,3642441.0
2019-11-13,3653964.0
2019-11-20,3659904.0
2019-11-27,3674569.0
2019-12-04,3685925.0
2019-12-11,3708268.0
2019-12-18,3725461.0
2019-12-25,3751189.0
2020-01-01,3739957.0
2020-01-08,3758738.0
2020-01-15,3769300.0
2020-01-22,3782010.0
2020-01-29,3798743.0
2020-02-05,3817516.0
2020-02-12,3836494.0
2020-02-19,3839819.0
2020-02-26,3848250.0
2020-03-04,3876816.0
2020-03-11,3897224.0
2020-03-18,4009794.0
2020-03-25,4365282.0
2020-04-01,4800901.0
2020-04-08,5096434.0
2020-04-15,5359376.0
2020-04-22,5534186.0
2020-04-29,5578486.0
2020-05-06,5627918.0
2020-05-13,5843376.0
2020-05-20,5954518.0
2020-05-27,5946969.0
2020-06-03,5972297.0
2020-06-10,5988351.0
2020-06-17,6090428.0
2020-06-24,6143193.0
2020-07-01,6126948.0
2020-07-08,6145103.0
2020-07-15,6203965.0
2020-07-22,6238825.0
2020-07-29,6229291.0
2020-08-05,6241464.0
2020-08-12,6255988.0
2020-08-19,6325788.0
2020-08-26,6310134.0
2020-09-02,6338219.0
2020-09-09,6345567.0
2020-09-16,6414387.0
2020-09-23,6458738.0
2020-09-30,6430599.0
2020-10-07,6454984.0
2020-10-14,6534164.0
2020-10-21,6559360.0
2020-10-28,6529839.0
2020-11-04,6540758.0
2020-11-11,6555446.0
2020-11-18,6637946.0
2020-11-25,6612518.0
2020-12-02,6620378.0
2020-12-09,6636541.0
2020-12-16,6744281.0
2020-12-23,6771803.0
2020-12-30,6730731.0
2021-01-06,6741237.0
2021-01-13,6765622.0
2021-01-20,6845748.0
2021-01-27,6838223.0
2021-02-03,6844210.0
2021-02-10,6871038.0
2021-02-17,6996966.0
2021-02-24,7027599.0
2021-03-03,7003026.0
2021-03-10,7024790.0
2021-03-17,7135409.0
2021-03-24,7158456.0
2021-03-31,7129308.0
2021-04-07,7146064.0
2021-04-14,7224865.0
2021-04-21,7249642.0
2021-04-28,7208414.0
2021-05-05,7234090.0
2021-05-12,7248067.0
2021-05-19,7351729.0
2021-05-26,7333769.0
2021-06-02,7365641.0
2021-06-09,7376508.0
2021-06-16,7484242.0
2021-06-23,7519947.0
2021-06-30,7505369.0
2021-07-07,7523709.0
2021-07-14,7627278.0
2021-07-21,7667510.0
2021-07-28,7650866.0
2021-08-04,7664767.0
2021-08-11,7690627.0
2021-08-18,7791636.0
2021-08-25,7786785.0
2021-09-01,7806085.0
2021-09-08,7813156.0
2021-09-15,7908375.0
2021-09-22,7952278.0
2021-09-29,7928087.0
2021-10-06,7946373.0
2021-10-13,7963030.0
2021-10-20,8048546.0
2021-10-27,8043453.0
2021-11-03,8063390.0
2021-11-10,8148320.0
2021-11-17,8179303.0
2021-11-24,8190973.0
2021-12-01,8165351.0
2021-12-08,8177435.0
2021-12-15,8268766.0
2021-12-22,8301831.0
2021-12-29,8270111.0
2022-01-05,8279184.0
2022-01-12,8302651.0
2022-01-19,8381950.0
2022-01-26,8379384.0
2022-02-02,8391301.0
2022-02-09,8395061.0
2022-02-16,8445579.0
2022-02-23,8461992.0
2022-03-02,8442811.0
2022-03-09,8447093.0
2022-03-16,8490545.0
2022-03-23,8500255.0
2022-03-30,8477627.0
2022-04-06,8478754.0
2022-04-13,8504586.0
2022-04-20,8496070.0
2022-04-27,8481372.0
2022-05-04,8482597.0
2022-05-11,8483993.0
2022-05-18,8504191.0
2022-05-25,8479210.0
2022-06-01,8480572.0
2022-06-08,8481186.0
2022-06-15,8492644.0
2022-06-22,8494506.0
2022-06-29,8475608.0
2022-07-06,8456027.0
2022-07-13,8457212.0
2022-07-20,8461636.0
2022-07-27,8453907.0
2022-08-03,8439018.0
2022-08-10,8440487.0
2022-08-17,8428995.0
2022-08-24,8428881.0
2022-08-31,8406632.0
2022-09-07,8402399.0
2022-09-14,8407904.0
2022-09-21,8391153.0
2022-09-28,8372353.0
2022-10-05,8334431.0
2022-10-12,8330346.0
2022-10-19,8312950.0
2022-10-26,8289604.0
2022-11-02,8255836.0
2022-11-09,8256104.0
2022-11-16,8214279.0
2022-11-23,8209753.0
2022-11-30,8177087.0
2022-12-07,8175598.0
2022-12-14,8174734.0
2022-12-21,8156600.0
2022-12-28,8144582.0
